file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/plugin/quota-search/src/main/java/org/apache/james/quota/search/QuotaQuery.java,org.apache.james.quota.search.QuotaQuery,class,5,13,8,5,9,1,0,5,0,0.25,0.5714286,0.71428573,8,1,7,1,0,0,7,0,2,0,3,0,0,3,0,0,3,0,4,80,8,0,0,0,0,3,0,4,0,4,1,0,1,0,20,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/mailet/integration-testing/src/test/java/org/apache/james/mailets/ForwardLoopIntegrationTest.java,org.apache.james.mailets.ForwardLoopIntegrationTest,class,33,34,1,33,30,1,0,67,0,0.2822967,1.0,1.0,19,1,0,1,0,18,18,0,0,0,11,6,2,9,0,0,6,0,32,197,1,0,11,0,0,13,20,19,6,28,1,0,0,36,100,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/backends-common/cassandra/src/main/java/org/apache/james/backends/cassandra/init/configuration/CassandraConfiguration.java,org.apache.james.backends.cassandra.init.configuration.CassandraConfiguration$Builder,innerclass,2,2,0,2,63,1,0,18,862,0.9370368,0.06464647,1.0,45,0,45,0,0,0,45,0,0,0,24,0,0,24,0,0,0,0,46,230,45,0,1,0,0,24,18,55,3,28,1,0,0,1,102,9,1
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/data/data-api/src/main/java/org/apache/james/user/api/UsernameChangeTaskStep.java,org.apache.james.user.api.UsernameChangeTaskStep$StepName,innerclass,1,1,0,1,5,1,0,2,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,2,0,1,0,0,1,0,0,1,0,2,19,4,0,0,0,0,0,0,2,0,2,1,0,0,0,12,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mpt/impl/managesieve/cassandra/src/test/java/org/apache/james/mpt/managesieve/cassandra/CassandraManageSieveMPTTest.java,org.apache.james.mpt.managesieve.cassandra.CassandraManageSieveMPTTest,class,7,7,0,7,2,1,0,3,0,0.25,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,1,0,1,0,1,0,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,18,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/data/data-jmap/src/main/java/org/apache/james/jmap/memory/upload/InMemoryUploadUsageRepository.java,org.apache.james.jmap.memory.upload.InMemoryUploadUsageRepository,class,6,10,4,6,7,1,0,19,9,0.6666666,0.1,0.1,6,0,5,1,0,0,5,0,0,0,2,1,0,2,0,0,2,0,1,31,5,0,0,0,0,0,1,3,0,6,2,0,0,4,35,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/protocols/imap/src/main/java/org/apache/james/imap/processor/fetch/FetchProcessor.java,org.apache.james.imap.processor.fetch.FetchProcessor,class,33,35,2,33,28,3,0,106,39,0.7,0.0,0.0,10,1,1,6,2,1,4,0,0,0,1,1,0,1,0,0,1,0,6,115,22,1,3,2,1,20,2,18,1,35,2,0,0,26,125,1,1
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/data/data-library/src/test/java/org/apache/james/dlp/eventsourcing/commands/StoreCommandTest.java,org.apache.james.dlp.eventsourcing.commands.StoreCommandTest,class,3,3,0,3,3,1,0,5,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/mailet/mock-smtp-server/src/test/java/org/apache/james/mock/smtp/server/Fixture.java,org.apache.james.mock.smtp.server.Fixture,interface,10,10,0,10,0,1,0,5,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,7,33,0,0,0,0,0,66,5,18,8,18,0,0,1,0,40,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mpt/impl/imap-mailbox/rabbitmq/src/test/java/org/apache/james/mpt/imapmailbox/rabbitmq/RabbitMQFetchTest.java,org.apache.james.mpt.imapmailbox.rabbitmq.RabbitMQFetchTest,class,5,5,0,5,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/protocols/protocols-smtp/src/main/java/org/apache/james/smtpserver/futurerelease/FutureReleaseMailParameterHook.java,org.apache.james.smtpserver.futurerelease.FutureReleaseMailParameterHook,class,8,9,1,8,11,1,0,27,4,0.6666667,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,2,1,2,0,0,3,0,7,49,9,0,1,1,0,13,1,6,1,6,2,0,0,0,83,1,5
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/cassandra/src/main/java/org/apache/james/mailbox/cassandra/mail/CassandraMessageIdToImapUidDAO.java,org.apache.james.mailbox.cassandra.mail.CassandraMessageIdToImapUidDAO,class,30,47,17,30,38,1,0,109,72,0.84126985,0.7777778,0.7777778,21,0,8,12,0,1,9,0,0,0,15,3,0,15,0,0,15,0,12,201,25,0,3,0,10,3,5,33,0,34,1,0,0,2,107,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/store/src/main/java/org/apache/james/mailbox/store/search/SearchUtil.java,org.apache.james.mailbox.store.search.SearchUtil$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,-1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/opensearch/src/main/java/org/apache/james/mailbox/opensearch/IndexAttachments.java,org.apache.james.mailbox.opensearch.IndexAttachments,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/api/src/test/java/org/apache/james/mailbox/model/MailboxPathTest.java,org.apache.james.mailbox.model.MailboxPathTest,class,9,9,0,9,53,1,0,32,0,0.509434,0.925254,0.925254,53,1,0,0,0,53,53,0,0,0,2,2,0,2,0,0,2,0,80,174,1,0,0,0,0,96,2,13,0,13,0,0,0,12,106,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/protocols/imap/src/test/java/org/apache/james/imap/decode/parser/SetAnnotationCommandParserTest.java,org.apache.james.imap.decode.parser.SetAnnotationCommandParserTest,class,8,8,0,8,13,1,0,16,0,0.6483516,1.0,1.0,13,0,0,0,0,13,13,0,0,0,7,6,0,7,0,0,6,0,0,86,0,0,0,0,12,19,2,40,12,40,0,0,0,6,85,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/backends-common/rabbitmq/src/test/java/org/apache/james/backends/rabbitmq/RabbitMQExtension.java,org.apache.james.backends.rabbitmq.RabbitMQExtension$DockerRestartPolicy,enum,1,1,0,1,5,1,0,1,2,0.6,0.4,1.0,5,0,4,0,0,1,5,0,0,0,4,0,0,4,0,0,4,0,0,23,0,0,0,0,0,0,0,4,0,4,0,0,0,0,24,1,0
